ov_suc,int,Th,pl2
10,0.46,0.02972334,0.009740851
10,1,0.02057434,0.009220444
20,0.26,0.1272831,0.01998251
20,0.46,0.1293015,0.01835165
20,0.7,0.130814958,0.017730286
20,1,0.1315839,0.01741211
30,0.16,0.1949401,0.029231362
30,0.26,0.2018608,0.02744719
30,0.46,0.2060088,0.0258075
30,0.7,0.207199747,0.025144294
30,1,0.2076628,0.02480374
40,0.12,0.2364091,0.035012741
40,0.16,0.2415168,0.034591589
40,0.26,0.2472897,0.033132358
40,0.46,0.249951,0.03174951
40,0.7,0.250651016,0.031183609
40,1,0.2509211,0.030867813
50,0.1,0.2681101,0.038261307
50,0.16,0.2714828,0.038260693
50,0.26,0.2741662,0.03718291
50,0.46,0.2756589,0.03615459
50,0.7,0.276074571,0.035719521
50,1,0.2762351,0.03547642
60,0.1,0.2982477,0.040432302
60,0.16,0.2941147,0.040648121
60,0.46,0.2911091,0.039227521
60,0.7,0.291247258,0.038919515
60,1,0.2913262,0.03874704
70,0.13,0.3263978,0.04209905
70,0.26,0.3141367,0.041739118
70,0.46,0.3068639,0.041272415
70,0.7,0.303839106,0.041069755
70,1,0.3025465,0.040953744
80,0.2,0.3649311,0.043071119
80,0.46,0.3653217,0.042596294
80,0.7,0.36613189,0.04246797
80,1,0.3666069,0.042392569
90,0.4,0.4148269,0.044590183
90,1,0.4164573,0.044204536
100,1,0.4438802,0.052876679
