ov_suc,int,pl3
10,0.46,0.009740851
10,1,0.009220444
20,0.26,0.01998251
20,0.46,0.01835165
20,1,0.01741211
30,0.16,0.029231362
30,0.26,0.02744719
30,0.46,0.0258075
30,1,0.02480374
40,0.12,0.035012741
40,0.16,0.034591589
40,0.26,0.033132358
40,0.46,0.03174951
40,1,0.030867813
50,0.1,0.038261307
50,0.16,0.038260693
50,0.26,0.03718291
50,0.46,0.03615459
50,1,0.03547642
60,0.1,0.040432302
60,0.16,0.040648121
60,0.46,0.039227521
60,1,0.03874704
70,0.13,0.04209905
70,0.26,0.041739118
70,0.46,0.041272415
70,1,0.040953744
80,0.2,0.043071119
80,0.46,0.042596294
80,1,0.042392569
90,0.4,0.044590183
90,1,0.044204536
100,1,0.052876679
