ov_suc,int,Th
10,0.46,0.02972334
10,1,0.02057434
20,0.26,0.1272831
20,0.46,0.1293015
20,1,0.1315839
30,0.16,0.1949401
30,0.26,0.2018608
30,0.46,0.2060088
30,1,0.2076628
40,0.12,0.2364091
40,0.16,0.2415168
40,0.26,0.2472897
40,0.46,0.249951
40,1,0.2509211
50,0.1,0.2681101
50,0.16,0.2714828
50,0.26,0.2741662
50,0.46,0.2756589
50,1,0.2762351
60,0.1,0.2982477
60,0.16,0.2941147
60,0.46,0.2911091
60,1,0.2913262
70,0.13,0.3263978
70,0.26,0.3141367
70,0.46,0.3068639
70,1,0.3025465
80,0.2,0.3649311
80,0.46,0.3653217
80,1,0.3666069
90,0.4,0.4148269
90,1,0.4164573
100,1,0.4438802
